"id","symbol","period","open_time","close_time","open","close","high","low","volume","quote_asset_volume","num_trades","first_id","last_id","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","create_time","update_time","event_time","receive_time"
"1406828472147390466","BTCUSDT","1m","1624248960000","1624249019999","34291.27","34222.98","34327.13","34203","950.056","32571126.21571","8326","1042651344","1042659669","426.586","14628057.00069","21/6/2021 04:17:00","21/6/2021 04:17:00","1624249020021","1624249020027"
"1406828221021827074","BTCUSDT","1m","1624248900000","1624248959999","34209.71","34290.82","34327.72","34198.29","1665.776","57088943.96732","12986","1042638358","1042651343","1034.06","35438952.05823","21/6/2021 04:16:00","21/6/2021 04:16:00","1624248960033","1624248960153"
"1406827970374414339","BTCUSDT","1m","1624248840000","1624248899999","34294.51","34205.68","34322","34150","1981.868","67821013.07151","15487","1042622871","1042638357","780.866","26730198.36563","21/6/2021 04:15:00","21/6/2021 04:15:00","1624248900013","1624248900398"
"1406827717747290114","BTCUSDT","1m","1624248780000","1624248839999","34330","34294.51","34346.57","34216","2352.769","80620876.37832","17735","1042605136","1042622870","886.946","30395055.77519","21/6/2021 04:14:00","21/6/2021 04:14:00","1624248840035","1624248840164"
"1406827465887760385","BTCUSDT","1m","1624248720000","1624248779999","34338.79","34330","34385.1","34330","589.612","20258671.32494","4166","1042600970","1042605135","269.696","9267132.06584","21/6/2021 04:13:00","21/6/2021 04:13:00","1624248780022","1624248780115"
"1406827213860384769","BTCUSDT","1m","1624248660000","1624248719999","34373.61","34331.11","34430","34318.27","825.067","28365826.00551","7108","1042593862","1042600969","420.745","14466891.44815","21/6/2021 04:12:00","21/6/2021 04:12:00","1624248720022","1624248720027"
"1406826962533494785","BTCUSDT","1m","1624248600000","1624248659999","34303.27","34373.6","34422.87","34301","1621.659","55721774.28528","10822","1042583040","1042593861","1032.402","35475400.29146","21/6/2021 04:11:00","21/6/2021 04:11:00","1624248660048","1624248660106"
"1406826712196497409","BTCUSDT","1m","1624248540000","1624248599999","34330.5","34316.44","34360","34301.1","1480.402","50822820.45453","11466","1042571574","1042583039","718.648","24673401.03151","21/6/2021 04:10:00","21/6/2021 04:10:00","1624248600031","1624248600422"
"1406826459254800386","BTCUSDT","1m","1624248480000","1624248539999","34395.86","34330.5","34440","34326.93","1431.829","49237017.77815","10682","1042560892","1042571573","665.236","22880241.80261","21/6/2021 04:09:00","21/6/2021 04:09:00","1624248540010","1624248540116"
"1406826207839793154","BTCUSDT","1m","1624248420000","1624248479999","34409.6","34395.85","34442.09","34355","1688.835","58075752.9692","14294","1042546598","1042560891","836.573","28769849.97283","21/6/2021 04:08:00","21/6/2021 04:08:00","1624248480048","1624248480172"
"1406825956051566594","BTCUSDT","1m","1624248360000","1624248419999","34453.53","34410","34500","34400","1304.006","44914429.48248","10752","1042535846","1042546597","628.838","21662827.80894","21/6/2021 04:07:00","21/6/2021 04:07:00","1624248420024","1624248420143"
"1406825703848067073","BTCUSDT","1m","1624248300000","1624248359999","34484.05","34453.54","34526.55","34410","1406.571","48480049.36157","11850","1042523996","1042535845","721.097","24857744.19604","21/6/2021 04:06:00","21/6/2021 04:06:00","1624248360005","1624248360013"
"1406825452936376322","BTCUSDT","1m","1624248240000","1624248299999","34576.96","34484.04","34587.91","34445","2487.789","85839299.1779","19604","1042504392","1042523995","856.131","29547435.29927","21/6/2021 04:05:00","21/6/2021 04:05:00","1624248300017","1624248300191"
"1406825201563348993","BTCUSDT","1m","1624248180000","1624248239999","34606.64","34576.96","34651.49","34569.59","822.338","28463748.3862","5268","1042499124","1042504391","325.528","11269704.31451","21/6/2021 04:04:00","21/6/2021 04:04:00","1624248240085","1624248240260"
"1406824948923641857","BTCUSDT","1m","1624248120000","1624248179999","34630","34605.91","34639.99","34555","1301.685","45017065.52798","8784","1042490340","1042499123","525.435","18175052.38091","21/6/2021 04:03:00","21/6/2021 04:03:00","1624248180021","1624248180025"
"1406824697693257729","BTCUSDT","1m","1624248060000","1624248119999","34654.41","34631.02","34672.11","34567","2213.783","76585205.85854","14054","1042476286","1042490339","814.619","28187044.533","21/6/2021 04:02:00","21/6/2021 04:02:00","1624248120006","1624248120127"
"1406824445896605697","BTCUSDT","1m","1624248000000","1624248059999","34652.45","34655.42","34724.2","34645.24","705.348","24466722.49105","4981","1042471305","1042476285","417.846","14493827.5465","21/6/2021 04:01:00","21/6/2021 04:01:00","1624248060036","1624248060094"
"1406824194020261889","BTCUSDT","1m","1624247940000","1624247999999","34653.11","34652.45","34687.32","34643.57","396.247","13734322.86026","3340","1042467965","1042471304","209.698","7268317.15426","21/6/2021 04:00:00","21/6/2021 04:00:00","1624248000035","1624248000041"
"1406823942529757186","BTCUSDT","1m","1624247880000","1624247939999","34680.51","34653.12","34706.96","34645.49","618.549","21445257.68961","4570","1042463395","1042467964","305.641","10597573.85632","21/6/2021 03:59:00","21/6/2021 03:59:00","1624247940058","1624247940082"
"1406823690816991235","BTCUSDT","1m","1624247820000","1624247879999","34715.15","34680.51","34730.9","34674.16","340.563","11819140.64194","3111","1042460284","1042463394","138.233","4797518.34499","21/6/2021 03:58:00","21/6/2021 03:58:00","1624247880006","1624247880069"
"1406823439376855041","BTCUSDT","1m","1624247760000","1624247819999","34728.87","34715.14","34760","34715.14","597.769","20767420.2874","4354","1042455930","1042460283","323.076","11224429.07244","21/6/2021 03:57:00","21/6/2021 03:57:00","1624247820022","1624247820120"
"1406823187253047297","BTCUSDT","1m","1624247700000","1624247759999","34700.7","34728.88","34730","34696.25","324.518","11267391.7988","3135","1042452795","1042455929","174.273","6051016.49166","21/6/2021 03:56:00","21/6/2021 03:56:00","1624247760005","1624247760010"
"1406822937884934147","BTCUSDT","1m","1624247640000","1624247699999","34650.57","34703.34","34712.99","34630","516.747","17917987.50943","3737","1042449058","1042452794","333.515","11565193.26957","21/6/2021 03:55:00","21/6/2021 03:55:00","1624247700040","1624247700556"
"1406822684469243906","BTCUSDT","1m","1624247580000","1624247639999","34727.01","34650.56","34727.61","34650","616.355","21375104.17887","4737","1042444321","1042449057","239.305","8297796.31825","21/6/2021 03:54:00","21/6/2021 03:54:00","1624247640039","1624247640137"
"1406822432412581890","BTCUSDT","1m","1624247520000","1624247579999","34703.39","34728.95","34745.22","34685.05","878.685","30508173.7195","5454","1042438867","1042444320","585.465","20327576.25928","21/6/2021 03:53:00","21/6/2021 03:53:00","1624247580036","1624247580042"
"1406822180678807554","BTCUSDT","1m","1624247460000","1624247519999","34633.58","34703.39","34706.96","34617.84","530.526","18395415.77477","4488","1042434379","1042438866","358.838","12443465.33883","21/6/2021 03:52:00","21/6/2021 03:52:00","1624247520019","1624247520024"
